pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
TOI-1772.01,TOI-1772,7.49677E+17,7.49677E+17,85293053,,156.837704,34.3909497,9.955,5.019024003,8.737001,3.801025003,8.354,3.418024003,9.3523,,9.80056,4.864584003,10.27186253,-9.956172943,0.325390488,Gaia,5583,4.44,0.1282,0.99,0.995,,-0.06194,,,,,97.09462738,96.92787933,97.22257233,0.774344087,LO,0.054281145,8.054246874,2.905,3.4202,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-837 b,TOI-837,5.25147E+18,5.25147E+18,460205581,,157.0372806,-64.5052107,10.635,4.866905504,9.392,3.623905504,8.933,3.164905504,9.9322,,10.356,4.587905504,7.01076384,18.20094299,0.569583118,Gaia,5995,4.453,0.01,1.142,1.052,F9/G0,0.1271,0.035,0.007,-0.004,2.973,142.4357147,142.1692352,142.676239,1.037542105,LO,0.100320116,8.3249113,9.16894621,1.983,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
KELT-4 A b,KELT-4 A,7.27624E+17,7.27624E+17,165297570,,157.06262,25.5731366,9.98,3.301584996,9.017,2.338584996,8.689,2.010584996,9.6022,,9.95702,3.278604996,4.585986812,-22.92517662,0.425649345,Gaia,6206,4.108,-0.116,1.201,1.603,F,0.53529,4.44,0.78,-0.89,,216.6122437,215.9061127,217.3506012,1.023200035,LO,0.089723349,2.9895932,19.044091,3.46272,KELT,2016,KELT
TOI-1260 d,TOI-1260,1.05381E+18,1.05381E+18,355867695,,157.1440712,65.8541986,11.922,7.597798792,9.698,5.373798792,8.95,4.625798792,10.8116,,11.5743,7.250098792,13.62264173,-16.6983223,0.399239361,Gaia,4227,4.57,-0.1,0.679,0.672,K6 V,-0.88941,6.7,5.1,-5.2,30.63,73.25550079,73.17576599,73.35978699,1.191249251,LO,0.116553359,16.608164,3.12,3.19,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-1260 c,TOI-1260,1.05381E+18,1.05381E+18,355867695,,157.1440712,65.8541986,11.922,7.597798792,9.698,5.373798792,8.95,4.625798792,10.8116,,11.5743,7.250098792,13.62264173,-16.6983223,0.399239361,Gaia,4227,4.57,-0.1,0.679,0.672,K6 V,-0.88941,6.7,5.1,-5.2,30.63,73.25550079,73.17576599,73.35978699,1.191249251,LO,0.116553359,7.493134,2.76,1.97,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-1260 b,TOI-1260,1.05381E+18,1.05381E+18,355867695,,157.1440712,65.8541986,11.922,7.597798792,9.698,5.373798792,8.95,4.625798792,10.8116,,11.5743,7.250098792,13.62264173,-16.6983223,0.399239361,Gaia,4227,4.57,-0.1,0.679,0.672,K6 V,-0.88941,6.7,5.1,-5.2,30.63,73.25550079,73.17576599,73.35978699,1.191249251,LO,0.116553359,3.127463,2.41,2.06,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
Qatar-8 b,Qatar-8,1.07652E+18,1.07652E+18,103751498,,157.4123405,70.5270835,11.71,4.520991561,10.296,3.106991561,9.937,2.747991561,10.9101,,11.3494,4.160391561,3.604597997,5.054496288,0.426107079,Gaia,5738,4.214,0.025,1.029,1.315,G0 V,0.22789,8.3,2.1,-2.1,,274.0322571,272.9588928,275.2886658,0.942636609,LO,0.122567348,3.71495,14.403565,4.0272,Qatar,2019,Other
K2-324 b,K2-324,3.86238E+18,3.86238E+18,392817207,,157.6222171,6.8636732,15.223,9.544489326,12.092,6.413489326,11.237,5.558489326,13.4415,14.509,14.5172,8.838689326,7.266209399,-15.49965191,6.896474838,Gaia,3752,4.743,,0.517,0.505,,-1.33305,,,,,136.6791077,136.0982361,137.3967438,1.064217448,LO,0,3.262,2.43,,K2,2020,K2
K2-266 d,K2-266,3.85525E+18,3.85525E+18,374180079,,157.9356855,0.9372782,11.625,7.17740945,9.611,5.16340945,8.897,4.44940945,10.6269,11.386,11.3527,6.90510945,12.87028355,10.83106422,0.442260861,Gaia,4285,4.581,-0.12,0.686,0.703,,-0.82333,,,,,77.53862762,77.44691467,77.63182068,0.841322422,LO,0.081256971,14.697,2.93,3.408,K2,2018,K2
K2-266 b,K2-266,3.85525E+18,3.85525E+18,374180079,,157.9356855,0.9372782,11.625,7.17740945,9.611,5.16340945,8.897,4.44940945,10.6269,11.386,11.3527,6.90510945,12.87028355,10.83106422,0.442260861,Gaia,4285,4.581,-0.12,0.686,0.703,,-0.82333,,,,,77.53862762,77.44691467,77.63182068,0.841322422,LO,0.081256971,0.658524,3.3,0.33336,K2,2018,K2
