pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
HIP 65 A b,HIP 65 A,0.1856063,-54.8308228,11.0,8.922,8.29,4590.0,4.611,0.18,4.1,4.3,-2.8,0.9809734,22.75427,0.78576,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-136 b,WASP-136,0.325761,-8.9262512,9.974,9.016,8.805,6250.0,3.9,-0.18,3.62,0.7,-0.7,5.21536178778,16.81347105,5.5895721,SuperWASP,2016,WASP
KELT-1 b,KELT-1,0.3620995,39.3837953,10.632,9.682,9.437,6516.0,4.228,0.052,,,,1.217514,12.442,2.76456,KELT,2012,KELT
HATS-34 b,HATS-34,0.7744866,-62.4693167,13.857,12.513,12.095,5380.0,4.435,0.25,7.7,2.7,-2.7,2.1061607,16.02887,1.5552,HATSouth,2016,HAT
WASP-96 b,WASP-96,1.0465696,-47.3606352,12.569,11.267,10.914,5540.0,4.42,0.14,8.0,26.0,-8.0,3.4252602,13.45,2.4264,SuperWASP,2014,WASP
TOI-198 b,TOI-198,2.2715087,-27.1217452,11.688,8.655,7.856,3650.0,4.75,-0.7,5.3,1.0,-1.0,10.2152,1.44,1.631,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-44 b,WASP-44,3.9032733,-11.9382645,13.096,11.702,11.341,5420.0,4.494,-0.003,10.3,2.7,-5.0,2.423804,12.3299,2.2368,SuperWASP,2011,WASP
Gliese 12 b,Gliese 12,3.9579137,13.5576175,12.6,8.619,7.807,3296.0,5.21,-0.32,7.0,2.8,-2.2,12.761408,0.958,1.2,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-32 b,WASP-32,3.9617073,1.2005122,11.257,10.503,10.161,6140.0,4.4,-0.13,2.22,0.62,-0.73,2.71866,10.76064,2.424,SuperWASP,2010,WASP
WASP-158 b,WASP-158,4.1463468,-10.9764226,12.044,11.178,10.881,6350.0,4.3,0.24,1.93,0.93,-0.93,3.656333,11.99363,3.576,SuperWASP-South,2018,WASP
HD 1397 b,HD 1397,4.4471631,-66.3589285,7.79,6.442,5.988,5521.0,3.823,0.29,4.51,0.5,-0.5,11.53533,11.500434,8.6016,Transiting Exoplanet Survey Satellite (TESS),2018,TESS
TOI-6016 b,TOI-6016,4.5239602,59.7661983,11.886,10.629,10.224,6110.0,4.19,0.28,0.3,0.1,-0.1,4.023687,13.67495645,5.7,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-26 b,WASP-26,4.6030424,-15.2674044,11.297,10.021,9.69,6034.0,4.44,0.16,6.0,2.0,-2.0,2.7566,13.56289,2.3808565,SuperWASP,2010,WASP
TOI-260 b,TOI-260,4.7730178,-9.9661505,9.9,7.376,6.549,4026.0,4.45,-0.47,15.9,2.8,-5.5,13.475853,1.71,2.37,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
Qatar-4 b,Qatar-4,4.859275,44.0275965,13.574,12.03,11.519,5215.0,4.533,0.103,0.17,0.01,-0.01,1.8053564,12.722215,2.1384,Qatar,2017,Other
WASP-20 b,WASP-20,5.1605621,-23.9357894,10.675,9.701,9.39,5940.0,4.231,-0.008,7.0,2.0,-1.0,4.89964477,15.46839337,3.07,SuperWASP,2015,WASP
WASP-1 b,WASP-1,5.1669536,31.9899732,11.308,10.586,10.276,6110.0,4.207,0.17,3.4,1.2,-0.6,2.5199454,16.623,3.7121363,SuperWASP,2007,WASP
WASP-45 b,WASP-45,5.2377567,-35.998465,11.801,10.753,10.294,5150.0,4.503,-0.03,12.7,1.0,-5.3,3.126089,10.603714,1.6824,SuperWASP,2011,WASP
HATS-30 b,HATS-30,5.618525,-59.9425892,12.283,11.129,10.793,5943.0,4.425,0.06,2.3,1.2,-1.2,3.1743516,13.170575,2.7504,HATSouth,2016,HAT
TOI-5322 b,TOI-5322,6.5293373,14.3364283,12.733,11.301,10.9,5692.0,4.11,-0.048,9.7,2.0,-1.8,5.4233207,16.6117094,5.111,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
HATS-49 b,HATS-49,6.6135927,-56.3442798,14.988,12.692,11.938,4405.0,4.6036,0.208,10.5,1.4,-2.0,4.1480467,8.574885,2.346,HATSouth,2020,HAT
HATS-46 b,HATS-46,6.7026401,-56.3161021,13.783,12.366,11.965,5495.0,4.542,-0.06,3.0,3.4,-2.1,4.7423729,10.121727,2.4336,HATSouth,2018,HAT
Qatar-5 b,Qatar-5,7.0539375,42.0613451,12.614,11.348,10.956,5747.0,4.427,0.377,0.53,0.004,-0.004,2.8792319,12.408363,2.9088,Qatar,2017,Other
TOI-178 f,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,15.23335,2.417,2.348,Multiple Observatories,2021,Other
TOI-178 c,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,3.238486,1.754,1.95,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 b,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,1.9145601,1.2,1.692,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 g,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,20.71663,2.939,2.167,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 e,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,9.96318,2.301,2.501,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
TOI-178 d,TOI-178,7.3020115,-30.4541159,11.955,9.372,8.656,4316.0,4.45,-0.23,6.0,6.8,-5.0,6.557569,2.695,2.346,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
HD 2685 b,HD 2685,7.3289156,-76.304032,9.595,8.825,8.595,6801.0,4.21,0.02,1.31,0.34,-0.47,4.12688,16.14096,4.405,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
WASP-190 b,WASP-190,7.7095292,-40.5734613,11.645,10.859,10.65,6400.0,4.17,-0.02,,,,5.367753,12.89035,4.464,WASP-South,2019,WASP
TOI-6029 b,TOI-6029,8.3862555,61.8607659,12.858,10.788,10.369,6223.0,3.886,0.37,2.31,0.58,-0.19,5.7987,14.39233122,5.684,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HD 3167 b,HD 3167,8.7401487,4.3807215,8.97,7.548,7.066,5261.0,4.53,0.04,7.8,4.3,-4.3,0.959641,1.67,1.609,K2,2016,K2
HD 3167 c,HD 3167,8.7401487,4.3807215,8.97,7.548,7.066,5261.0,4.53,0.04,7.8,4.3,-4.3,29.8454,3.0,4.869,K2,2016,K2
TOI-2406 b,TOI-2406,8.8060544,-3.3720833,,12.633,11.894,3100.0,5.041,-0.26,,,,3.0766891,2.86,1.2491751,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
WASP-93 b,WASP-93,9.4587443,51.288778,10.966,10.233,9.942,6700.0,4.197,0.07,0.7,0.65,-0.65,2.7325321,17.900773,2.2344,SuperWASP,2016,WASP
HAT-P-19 b,HAT-P-19,9.5165832,34.7114025,12.826,11.095,10.546,4962.0,4.5687,0.166,7.2,4.0,-4.0,4.00878322,11.29865255,2.8368,HATNet,2010,HAT
HAT-P-16 b,HAT-P-16,9.5730343,42.4630961,10.911,9.85,9.553001,6158.0,4.34,0.17,2.0,0.8,-0.8,2.77596727,14.68376472,3.0624,HATNet,2010,HAT
K2-149 b,K2-149,9.8217519,7.2769939,14.543,11.452,10.561,3745.0,4.707,0.11,,,,11.332,1.64,,K2,2018,K2
TOI-1470 b,TOI-1470,10.0891431,61.2133868,13.459,10.154,9.283,3709.0,4.77,0.0,1.3,0.7,-0.7,2.527093,2.18,1.28,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-1470 c,TOI-1470,10.0891431,61.2133868,13.459,10.154,9.283,3709.0,4.77,0.0,1.3,0.7,-0.7,18.08816,2.47,2.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-244 b,TOI-244,10.5697537,-36.7179743,12.861,8.827,7.97,3433.0,4.66,-0.39,7.0,4.0,-4.0,7.397225,1.52,1.7,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
LHS 1140 c,LHS 1140,11.248632,-15.2741085,14.15,9.612001,8.821,3096.0,5.041,-0.15,5.0,,,3.77794,1.272,1.13,Multiple Observatories,2018,Other
LHS 1140 b,LHS 1140,11.248632,-15.2741085,14.15,9.612001,8.821,3096.0,5.041,-0.15,5.0,,,24.73723,1.73,2.15,MEarth Project,2017,Other
K2-206 b,K2-206,11.2564264,0.5931866,13.084,11.439,10.918,5043.0,4.46,-0.14,,,,18.294549,2.79522879,,K2,2018,K2
K2-217 b,K2-217,11.2983678,6.4815879,12.264,11.009,10.679,5967.0,4.17,0.04,,,,14.074524,3.57854073,5.688,K2,2018,K2
K2-216 b,K2-216,11.4802354,6.3470302,12.403,10.394,9.721,4503.0,4.57,0.0,,,,2.1748,1.75,1.84,K2,2018,K2
K2-207 b,K2-207,11.6996481,0.6406182,13.175,11.78,11.383,5522.0,4.41,0.11,,,,12.48749,2.60585269,4.296,K2,2018,K2
HD 5278 b,HD 5278,12.5467785,-83.7437671,7.94,6.949,6.605,6203.0,4.5,-0.12,3.0,1.1,-1.1,14.339156,2.45,4.8,Transiting Exoplanet Survey Satellite (TESS),2021,TESS
K2-385 b,K2-385,12.6140752,5.8712567,14.645,12.816,12.237,4844.0,4.64,-0.224,,,,2.380867,1.539,1.92,K2,2022,K2
K2-220 b,K2-220,12.7700071,9.5167694,11.873,10.582,10.161,5612.0,4.45,-0.05,,,,13.68186,2.37,3.12,K2,2018,K2
K2-203 b,K2-203,12.7736909,-1.1958844,12.391,10.773,10.206,5026.0,4.57,-0.021,6.9,4.6,-4.5,9.6952,1.26549392,3.1032,K2,2018,K2
K2-218 b,K2-218,12.809613,6.8464327,12.92,11.563,11.206,5757.0,4.45,0.25,,,,8.679885,2.56948149,3.84,K2,2018,K2
TOI-4638.01,TOI-4638,12.8206627,12.7879858,11.657,10.103,9.696,5700.0,4.54131,,,,,10.283918787,2.933,3.7225,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-3980 b,TOI-3980,12.8419374,59.5758606,12.549,11.133,10.741,5840.0,4.106,0.188,4.7,3.1,-1.3,3.6089254,14.4595851,2.359,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
K2-219 b,K2-219,12.8452963,8.8675474,12.09,10.849,10.424,5753.0,4.23,0.13,,,,3.901287,1.34762583,3.408,K2,2018,K2
K2-219 c,K2-219,12.8452963,8.8675474,12.09,10.849,10.424,5753.0,4.23,0.13,,,,6.66767,1.43839723,4.824,K2,2018,K2
K2-219 d,K2-219,12.8452963,8.8675474,12.09,10.849,10.424,5753.0,4.23,0.13,,,,11.137278,2.57634456,4.896,K2,2018,K2
TOI-5301 b,TOI-5301,12.9908008,13.0783712,11.738,10.616,10.336,6240.0,3.926,0.03,2.43,1.1,-0.47,5.858858,13.09208946,3.938,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HAT-P-28 b,HAT-P-28,13.0009159,34.728402,13.098,11.561,11.104,5680.0,4.36,0.12,6.1,2.6,-1.9,3.257215,13.585,3.2184,HATNet,2011,HAT
EPIC 220674823 c,EPIC 220674823,13.0800239,10.7947051,12.101,10.77,10.344,5578.0,4.408,-0.005,7.5,3.8,-4.0,13.33989,2.84,3.661,K2,2016,K2
EPIC 220674823 b,EPIC 220674823,13.0800239,10.7947051,12.101,10.77,10.344,5578.0,4.408,-0.005,7.5,3.8,-4.0,0.5713127,1.676,1.54,K2,2016,K2
K2-213 b,K2-213,13.1403998,3.5077702,11.803,11.034,10.656,5794.0,4.25,0.25,,,,8.13087,1.51398464,,K2,2018,K2
K2-283 b,K2-283,13.1943679,9.6929181,14.364,12.579,11.983,5060.0,4.56,0.28,,,,1.921036,3.52,1.7496,K2,2018,K2
K2-282 b,K2-282,13.4321524,7.9952914,14.21,12.437,12.002,5499.0,4.5,-0.23,,,,4.169783,2.5,2.7312,K2,2018,K2
EPIC 220554210 c,K2-282,13.4321524,7.9952914,14.21,12.437,12.002,5499.0,4.5,-0.23,,,,0.70531,1.6,1.704,K2,2019,K2
TOI-1472 b,TOI-1472,14.1142611,48.6375168,11.302,9.794,9.277,5100.0,4.5,0.27,3.1,0.4,-0.4,6.36338574,4.058,2.74,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-1472 c,TOI-1472,14.1142611,48.6375168,11.302,9.794,9.277,5100.0,4.5,0.27,3.1,0.4,-0.4,15.5381747,3.334,2.83,Multiple Observatories,2025,Other
K2-148 b,K2-148,14.5176494,-0.193258,13.627,11.082,10.292,4079.0,4.653,-0.11,,,,4.38395,1.33,1.776,K2,2018,K2
K2-148 d,K2-148,14.5176494,-0.193258,13.627,11.082,10.292,4079.0,4.653,-0.11,,,,9.7579,1.64,1.8,K2,2018,K2
K2-148 c,K2-148,14.5176494,-0.193258,13.627,11.082,10.292,4079.0,4.653,-0.11,,,,6.9226,1.73,2.0304,K2,2018,K2
K2-209 b,K2-209,14.6903464,1.382807,11.061,9.263,8.613,4720.0,4.46,-0.06,,,,2.080615,0.86850263,,K2,2018,K2
TOI-2420 b,TOI-2420,14.8268138,-19.7711643,11.574,10.182,9.8,5707.0,3.76,,5.3,1.6,-1.6,5.842641,15.02003414,4.554,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
K2-214 b,K2-214,14.8759777,4.2277722,11.806,10.576,10.223,5875.0,4.28,0.04,,,,8.59656,2.51,3.7296,K2,2018,K2
HATS-68 b,HATS-68,15.006077,-58.9047242,12.312,11.25,10.949,6147.0,4.083,0.21,3.02,0.11,-0.11,3.5862202,13.809488,3.42,HATSouth,2018,HAT
K2-205 b,K2-205,15.2175909,0.425966,12.45,11.235,10.879,5890.0,4.25,-0.26,,,,26.672263,1.99552771,6.048,K2,2018,K2
TOI-261.01,TOI-261,15.2181412,-24.4239934,9.56,8.507,8.182,5890.3,3.92,-0.35,,,,3.3639254,3.0449863,3.3430495,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HATS-71 b,HATS-71,15.5518893,-61.7561333,16.437,12.605,11.727,3405.0,4.7653,0.17,3.2,3.8,-1.5,3.7955202,11.478016,2.0148,HATSouth,2020,HAT
HD 6061 b,HD 6061,15.5981441,37.1854394,8.844,7.711,7.392,5934.0,4.441,-0.05,2.4,1.6,-1.3,5.2549,2.42763557,3.239598,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-3693 b,TOI-3693,15.6543938,51.3038918,11.948,10.657,10.151,5321.0,4.581,0.071,3.0,3.8,-2.1,9.088516,12.59889431,3.5568,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-6651 b,TOI-6651,15.7885904,35.3890405,10.242,9.022,8.684,5940.0,4.087,0.225,3.71,0.68,-0.78,5.056973,5.09,3.61,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
TOI-2046 b,TOI-2046,16.1849423,74.3313055,11.552,10.415,10.094,6250.0,4.3,-0.06,0.45,0.43,-0.021,1.4971842,16.14093221,2.41,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
K2-281 b,K2-281,16.2274724,7.2692169,15.048,13.195,12.523,4812.0,4.59,0.22,,,,8.687721,8.18,2.7504,K2,2018,K2
K2-222 b,K2-222,16.4625203,11.7537171,9.543,8.423,8.105,5942.0,4.37,-0.315,7.1,1.5,-1.7,15.38857,2.35,4.3896,K2,2018,K2
TOI-1468 c,TOI-1468,16.6538724,19.2249195,12.5,9.343,8.497,3376.0,4.846,-0.01,,,,15.532477,2.126,1.86,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-1468 b,TOI-1468,16.6538724,19.2249195,12.5,9.343,8.497,3376.0,4.846,-0.01,,,,1.8805201,1.401,1.09,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
K2-221 b,K2-221,16.6550286,10.1897385,12.571,11.229,10.852,5716.0,4.57,0.13,,,,2.399094,1.67890272,2.5032,K2,2018,K2
EPIC 220492298 b,EPIC 220492298,16.7615005,6.588798,13.991,12.61,12.168,5620.0,4.5,0.28,,,,0.762406,0.99,,K2,2021,K2
TOI-169 b,TOI-169,16.7786879,-75.1989452,12.355,11.181,10.815,5880.0,4.278,0.24,4.7,2.7,-2.0,2.2554477,12.172974,1.7064,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
K2-204 b,K2-204,17.3825067,-0.5177539,12.985,11.839,11.478,5783.0,4.273,0.21,6.5,3.7,-3.1,7.055908,3.17214154,4.5696,K2,2018,K2
WASP-187 b,WASP-187,17.47474,25.6816494,10.295,9.117,8.79,6150.0,3.722,0.0,2.55,0.49,-0.25,5.147878,18.38276,5.82,SuperWASP,2020,WASP
K2-210 b,K2-210,17.6412694,1.5784137,11.535,10.354,9.915,5500.0,4.6,0.0,,,,0.57023,0.86,,K2,2018,K2
TOI-4406 b,TOI-4406,18.0485164,-56.9253875,10.937,10.034,9.73,6219.0,4.29,0.1,2.9,0.7,-0.7,30.08364,11.2089807,3.9858103,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
K2-386 b,K2-386,18.2999964,7.0130302,13.241,11.864,11.525,5749.0,4.424,0.074,,,,7.473223,2.32,3.5568,K2,2022,K2
K2-150 b,K2-150,18.3443908,8.9874328,15.784,12.107,11.249,3499.0,4.822,0.09,,,,10.59357,2.0,2.4,K2,2018,K2
K2-212 b,K2-212,18.4241015,3.0970732,12.977,10.629,9.856,4349.0,4.72,0.03,,,,9.795647,2.65,2.5992,K2,2018,K2
K2-215 b,K2-215,18.4700795,6.1238647,12.99,11.679,11.298,5704.0,4.41,0.11,,,,8.269648,2.12381238,2.232,K2,2018,K2
WASP-186 b,WASP-186,18.9953122,21.6169065,10.81,9.781,9.532,6361.0,4.193,-0.08,3.1,1.0,-0.08,5.026799,12.44199,2.704,SuperWASP,2020,WASP
TOI-277 b,TOI-277,19.0766985,-20.9532772,13.632,10.403,9.557,4031.0,4.58,-0.01,,,,3.994,2.65,1.9693065,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-1467 b,TOI-1467,19.1146441,49.2331382,12.293,9.38,8.568,3834.0,4.773,-0.062,7.2,4.5,-4.9,5.97114713,1.92,1.5784,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
K2-151 b,K2-151,19.3047733,9.5012663,14.175,10.93,10.117,3695.0,4.8,-0.19,,,,3.835476,1.49,1.5408,K2,2018,K2
K2-387 b,K2-387,19.4418282,11.3684915,16.147,13.15,12.286,3572.0,4.66,0.126,,,,28.735327,7.322,2.9904,K2,2022,K2
K2-113 b,K2-113,19.4493823,6.8688469,13.744,12.347,11.949,5660.0,4.27,0.27,5.9,2.7,-3.4,5.817685,12.14,3.0744,K2,2017,K2
TOI-4527.01,TOI-4527,19.4722574,5.4711996,10.917,7.839,7.02,3702.0,4.75,,,,,0.3994445,0.9086617,0.8028796,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
WASP-118 b,WASP-118,19.5505861,2.7027847,11.009,10.087,9.788,6410.0,4.1,0.16,1.17,5.72,-0.75,4.0460435,16.14096,4.8048,SuperWASP,2016,WASP
K2-295 b,K2-295,19.6101417,6.8167277,13.8941,,11.135,4444.0,4.63,0.14,,,,4.024867,10.054473,2.4984,K2,2018,K2
TOI-2236 b,TOI-2236,20.1660113,-86.979965,11.6,10.261,9.96,6248.0,4.172,0.119,2.52,0.89,-0.82,3.5315902,14.36991326,3.048,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-4010 c,TOI-4010,20.2148196,66.0722009,12.291,10.649,10.157,4960.0,4.54,0.37,6.1,3.1,-3.1,5.414654,5.93,2.77,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-4010 b,TOI-4010,20.2148196,66.0722009,12.291,10.649,10.157,4960.0,4.54,0.37,6.1,3.1,-3.1,1.348335,3.02,1.77,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-4010 d,TOI-4010,20.2148196,66.0722009,12.291,10.649,10.157,4960.0,4.54,0.37,6.1,3.1,-3.1,14.70886,6.18,3.6,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
GJ 3090 b,GJ 3090,20.4384281,-46.7147234,11.403,8.168,7.294,3556.0,4.727,-0.06,,,,2.8531054,2.13,1.281,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
K2-384 e,K2-384,20.4998403,0.7509701,16.12,12.118,11.294,3623.0,4.874,0.068,,,,9.715043,1.345,1.992,K2,2022,K2
K2-384 c,K2-384,20.4998403,0.7509701,16.12,12.118,11.294,3623.0,4.874,0.068,,,,4.194766,1.191,1.272,K2,2022,K2
K2-384 d,K2-384,20.4998403,0.7509701,16.12,12.118,11.294,3623.0,4.874,0.068,,,,6.679582,1.392,1.512,K2,2022,K2
K2-384 f,K2-384,20.4998403,0.7509701,16.12,12.118,11.294,3623.0,4.874,0.068,,,,13.62749,2.222,2.16,K2,2022,K2
K2-384 b,K2-384,20.4998403,0.7509701,16.12,12.118,11.294,3623.0,4.874,0.068,,,,2.231527,1.076,,K2,2022,K2
K2-208 b,K2-208,20.7789809,0.8890076,12.577,11.164,10.746,5500.0,4.503,-0.064,6.1,4.8,-4.1,4.19097,1.67462172,1.944,K2,2018,K2
TOI-2411 b,TOI-2411,20.9224567,-8.7017944,11.272,9.33,8.532,4099.0,4.59,,,,,0.7826942,1.68,1.2621481,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
HAT-P-51 b,HAT-P-51,21.0651251,32.8107,13.51,12.039,11.614,5453.0,4.4256,0.302,8.1,2.7,-2.5,4.21802091,13.50682174,3.3672,HATNet,2015,HAT
K2-211 b,K2-211,21.1061587,1.7049101,13.1547,11.624,11.104,5117.0,4.543,0.134,6.5,4.8,-4.3,0.669561,1.33162691,1.2912,K2,2018,K2
TOI-4515 b,TOI-4515,21.1861778,21.5130638,11.938,10.625,10.134,5433.0,4.48,0.05,1.2,0.2,-0.2,15.266446,12.17,3.24,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
HAT-P-53 b,HAT-P-53,21.8711012,38.9681137,13.78,12.468,12.1,5956.0,4.31,0.0,4.67,1.45,-0.83,1.9616241,14.773462,2.7936,HATNet,2015,HAT
TOI-1695 b,TOI-1695,21.9217346,72.2966148,12.989,9.64,8.818,3690.0,4.725,0.0,,,,3.1342791,1.9,1.311,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
TOI-6330 b,TOI-6330,22.1679816,53.6860778,16.33,12.368,11.513,3539.0,4.77,0.08,7.6,4.2,-4.9,6.8500246,10.89,2.23,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
TIC 237913194 b,TIC 237913194,22.4458116,-60.7399096,12.144,10.858,10.485,5788.0,4.376,0.14,5.7,1.7,-1.7,15.168865,12.520453,2.0633315,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
TOI-2120 b,TOI-2120,23.507315,65.5139877,15.648,11.1,10.205,3131.0,4.985,0.39,,,,5.7998164,2.122,1.014374,Transiting Exoplanet Survey Satellite (TESS),2024,TESS
NGTS-11 b,NGTS-11,23.5214497,-14.4191493,12.456,10.855,10.315,5050.0,4.5,0.22,3.9,1.6,-1.6,35.45533,9.157753,3.59,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
TOI-125 b,TOI-125,23.5934253,-66.6763495,11.023,9.466,8.995,5320.0,4.516,-0.02,6.8,4.4,-4.1,4.65382,2.726,2.9616,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
TOI-125 c,TOI-125,23.5934253,-66.6763495,11.023,9.466,8.995,5320.0,4.516,-0.02,6.8,4.4,-4.1,9.15059,2.759,2.9544,Transiting Exoplanet Survey Satellite (TESS),2019,TESS
TOI-125 d,TOI-125,23.5934253,-66.6763495,11.023,9.466,8.995,5320.0,4.516,-0.02,6.8,4.4,-4.1,19.98,2.93,3.1128,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-105 b,WASP-105,24.1678686,-50.659308,12.049,10.456,9.935,5070.0,4.2,0.28,,,,7.87288,10.76064,3.72,SuperWASP-South,2017,WASP
WASP-18 b,WASP-18,24.3544618,-45.6777937,9.28,8.409,8.131,6432.0,4.31,0.107,1.57,1.4,-0.94,0.94145223,13.89913607,2.21,SuperWASP,2009,WASP
WASP-97 b,WASP-97,24.6051389,-55.7720006,10.57,9.407,9.03,5640.0,4.45,0.23,4.8,2.1,-1.6,2.07276,12.77826,2.5824,SuperWASP,2014,WASP
HIP 8152 c,HIP 8152,26.2092533,-18.4013844,10.07,8.847,8.449,5618.0,4.443,0.007,6.0,2.4,-2.3,19.60562,2.52442508,4.383408,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
HIP 8152 b,HIP 8152,26.2092533,-18.4013844,10.07,8.847,8.449,5618.0,4.443,0.007,6.0,2.4,-2.3,10.751014,2.53625843,2.9954278,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
TOI-2152 A b,TOI-2152,26.3389717,77.7901231,11.436,9.973,9.597,6630.0,4.205,0.282,0.83,1.1,-0.58,3.3773512,14.35870428,3.715,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
WASP-76 b,WASP-76,26.632936,2.700389,9.518,8.541,8.243,6329.0,4.196,0.366,1.816,0.274,-0.274,1.80988198,20.78145022,3.8,SuperWASP,2016,WASP
WASP-181 b,WASP-181,26.7932253,3.1329325,12.924,11.785,11.443,5839.0,4.487,0.09,2.5,1.7,-1.7,4.5195064,13.271456,3.0648,SuperWASP,2019,WASP
HAT-P-60 b,HAT-P-60,28.2825719,52.0539209,9.727,8.677,8.368,6212.0,3.9114,0.037,2.765,0.042,-0.056,4.7947813,18.28184752,5.035,HATNet,2021,HAT
TOI-849 b,TOI-849,28.7157956,-29.4217086,11.981,10.832,10.418,5257.0,4.48,0.19,6.7,2.9,-2.4,0.765548,3.64,1.57,Transiting Exoplanet Survey Satellite (TESS),2020,TESS
WASP-71 b,WASP-71,29.2634506,0.7588247,10.56,9.636,9.32,6050.0,3.9,0.15,3.0,1.0,-1.0,2.90367,13.22662,5.0469369,SuperWASP,2012,WASP
HIP 9618 b,HIP 9618,30.9050061,21.2813274,9.2,7.922,7.559,5649.0,4.445,-0.018,5.6,2.3,-2.2,20.772858,3.82838127,4.9427299,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
HIP 9618 c,HIP 9618,30.9050061,21.2813274,9.2,7.922,7.559,5649.0,4.445,-0.018,5.6,2.3,-2.2,52.56363,3.42855926,6.5715569,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
HAT-P-32 b,HAT-P-32,31.0427614,46.6878512,11.439,10.251,9.99,6001.0,4.22,-0.16,2.7,0.8,-0.8,2.1500082,22.19382,3.12048,HATNet,2011,HAT
TOI-2328 b,TOI-2328,31.6907424,-81.247376,12.331,10.842,10.395,5525.0,4.505,0.09,4.0,2.3,-2.7,17.10197,9.97599282,3.357,Transiting Exoplanet Survey Satellite (TESS),2025,TESS
WASP-53 b,WASP-53,31.9091639,-20.661843,12.591,10.959,10.39,4953.0,4.553,0.22,,,,3.3098443,12.038466,2.2676536,Multiple Facilities,2017,Other
TOI-262 b,TOI-262,32.534687,-31.0706272,8.91,7.387,6.967,5310.0,4.54,0.26,0.8,,,11.14529,2.07,1.501,Transiting Exoplanet Survey Satellite (TESS),2023,TESS
