pl_name,hostname,ra,dec,sy_vmag,sy_jmag,sy_kmag,st_teff,st_logg,st_met,st_age,st_ageerr1,st_ageerr2,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-85 e,Kepler-85,290.9734395,45.2902761,14.89,13.552,13.083,5436.0,4.494,0.12,1.38,1.64,-0.97,25.216751,1.27,4.083,Kepler,2014,Kepler
Kepler-85 d,Kepler-85,290.9734395,45.2902761,14.89,13.552,13.083,5436.0,4.494,0.12,1.38,1.64,-0.97,17.91323,1.2,4.51,Kepler,2014,Kepler
Kepler-85 b,Kepler-85,290.9734395,45.2902761,14.89,13.552,13.083,5505.2,4.51,0.12,1.38,1.64,-0.97,8.3,1.778,3.8786,Kepler,2012,Kepler
Kepler-1515 b,Kepler-1515,290.9739057,48.1782059,12.1,11.163,10.886,6511.0,4.26,0.07,1.82,0.535,-0.44,214.3114164,9.55,16.1734,Kepler,2016,Kepler
Kepler-1069 b,Kepler-1069,290.9792378,47.9889097,13.234,11.945,11.538,5722.0,4.46,0.04,4.37,3.93,-2.55,23.8990296,1.6,15.722,Kepler,2016,Kepler
Kepler-916 b,Kepler-916,290.9833818,45.9733334,15.363,13.838,13.305,5248.0,4.56,-0.05,4.79,6.08,-2.95,32.2968798,1.76,4.617,Kepler,2016,Kepler
Kepler-1302 b,Kepler-1302,290.9892462,50.308064,15.172,13.657,13.151,5236.0,4.55,0.04,4.68,6.7,-2.9,8.83922659,1.43,1.803,Kepler,2016,Kepler
Kepler-1424 b,Kepler-1424,290.9916648,40.2293347,13.756,12.497,12.104,5838.0,4.39,0.01,5.25,2.18,-2.7,29.6091744,1.16,5.471,Kepler,2016,Kepler
Kepler-393 b,Kepler-393,290.995205,45.192188,13.258,12.325,11.995,6189.0,4.233,0.0322,2.82,0.34,-0.31,9.182417,1.29,4.343,Kepler,2014,Kepler
Kepler-393 c,Kepler-393,290.995205,45.192188,13.258,12.325,11.995,6189.0,4.233,0.0322,2.82,0.34,-0.31,14.613612,1.33,5.401,Kepler,2014,Kepler
Kepler-1356 b,Kepler-1356,290.9953825,43.2438792,15.887,14.268,13.734,5106.0,4.58,-0.02,4.9,6.22,-3.01,0.634002937,1.53,0.9237,Kepler,2016,Kepler
Kepler-795 b,Kepler-795,291.0189951,38.5455728,13.423,12.143,11.708,5631.0,4.45,-0.02,6.46,3.14,-3.87,29.6193421,1.68,4.9768,Kepler,2016,Kepler
Kepler-820 b,Kepler-820,291.0201523,39.2206091,14.135,12.841,12.53,6260.0,4.25,0.09,2.63,0.845,-0.93,127.8338098,6.09,10.8773,Kepler,2016,Kepler
Kepler-1744 b,Kepler-1744,291.0206823,42.4624633,15.566,14.013,13.532,5986.0,4.527,-0.5,7.76,2.47,-2.51,37.10110092,3.76754004,5.5556,Kepler,2021,Kepler
Kepler-479 b,Kepler-479,291.0218899,37.7698734,13.724,12.237,11.716,5247.0,4.56,-0.02,4.27,3.11,-2.31,12.49341307,2.12,2.2382,Kepler,2016,Kepler
Kepler-1332 b,Kepler-1332,291.0286411,43.9137055,13.975,12.568,12.122,5581.0,4.51,0.0,3.24,2.43,-1.58,11.87456832,1.37,1.9902,Kepler,2016,Kepler
Kepler-774 b,Kepler-774,291.0318604,38.211894,12.886,11.902,11.64,6403.0,3.87,0.04,2.14,0.47,-0.38,11.0895723,3.17,6.3412,Kepler,2016,Kepler
Kepler-68 c,Kepler-68,291.0323102,49.0402129,10.077,8.975,8.588,5847.0,4.281,0.11,6.84,0.9,-1.04,9.605027,0.979,3.0045,Kepler,2013,Kepler
